[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/9rafadt6/fooster1337.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-content/style-css.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/js/tinymce/plugins/compat3x/css/ws.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/cgi-bin/cgi-bin/alfa-rex.php8" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-content/languages/about.php7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/WP/wordpress/wp-content/plugins/fix/up.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/certificates/index.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/js/about.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/x.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/core/include.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/s/Text/erin1.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "//wp-admin/user/about.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/js/widgets/COBUIy.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/ZqnVAMN/luuf.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/rbzccnnp.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/maint/users.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/Text/admin.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:41 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/js/erin1.PhP7" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
